category,blocked-matmul-retired,blocked-matmul-% retired,blocked-matmul-in program,blocked-matmul-% in program,blocked-matmul-with-8-regs-retired,blocked-matmul-with-8-regs-% retired,blocked-matmul-with-8-regs-in program,blocked-matmul-with-8-regs-% in program,gcc-queens-retired,gcc-queens-% retired,gcc-queens-in program,gcc-queens-% in program,gull-retired,gull-% retired,gull-in program,gull-% in program,gull-with-8-regs-retired,gull-with-8-regs-% retired,gull-with-8-regs-in program,gull-with-8-regs-% in program,linear-solve-retired,linear-solve-% retired,linear-solve-in program,linear-solve-% in program,linear-solve-with-8-regs-retired,linear-solve-with-8-regs-% retired,linear-solve-with-8-regs-in program,linear-solve-with-8-regs-% in program,queens-retired,queens-% retired,queens-in program,queens-% in program,queens-with-8-regs-retired,queens-with-8-regs-% retired,queens-with-8-regs-in program,queens-with-8-regs-% in program
instructions that both read AND write memory,541082310,3.426350713151424,16969,4.248505924974525,2688573126,17.012704351495685,16976,4.250556483375607,17372160,7.155686583946066,233115,4.691792608336,269378093,6.06117422786404,33969,5.327710083737067,331568730,6.881084263737421,34696,5.4119735391056265,88772845,9.543557610256492,78872,6.764113629424821,92029920,9.370631959176054,78955,6.769600374512247,90256043,12.658324525856452,16971,4.249230075865695,90256043,12.143544288821362,16975,4.250178394822169
conditional jumps,550543632,3.48626360770171,47600,11.917548590299216,550543632,3.483720027265734,47600,11.918384107485798,40548115,16.701987692365385,616794,12.413913862539927,476299903,10.717043337290765,66293,10.3974177803639,476302476,9.884760460923955,66280,10.338529114938925,95275783,10.242658370617683,108384,9.295081798503649,95275783,9.701130861738472,108382,9.292670860495045,154849522,21.717498762379247,47621,11.923433235684419,154849517,20.834305441377442,47621,11.923283967000087
indirect (computed) jumps (including virtual calls),290,1.8363965859721286e-06,1646,0.41210682730320397,290,1.835056749702016e-06,1646,0.41213571934709287,1017205,0.41899223652227807,18996,0.38232328416425654,673919,0.015163595632358664,1931,0.30285872918532414,673919,0.01398591907606504,1931,0.3012024701410239,682,7.33186628207638e-05,2912,0.24973499960550102,682,6.944231828255495e-05,2912,0.24967483111366806,298,4.179421768695557e-05,1649,0.41287964145321615,298,4.0094558522455566e-05,1649,0.4128744726398678
unconditional jumps (including calls),1876,1.1879586190633493e-05,16215,4.0597279494055,1876,1.1870918836003387e-05,16215,4.060012569388282,2288123,0.9424902288211958,240425,4.838917434996388,35121403,0.7902533585387984,24225,3.7994576460458194,36770247,0.7630971955812543,24223,3.7783673921419068,227516,0.02445919192130337,37938,3.253587367799965,232533,0.02367687770850051,37940,3.2529749630675022,4676777,0.6559135436622383,16230,4.063697138135657,4676777,0.6292392923589737,16230,4.063646264975776
"instructions with disp(rXX,rYY) or disp(rXX,rYY,scale) addressing",5261269,0.03331647044648619,21040,5.267756771846544,9450454,0.05980041172568419,21039,5.267875698264573,10566416,4.352363851794657,136569,2.748658064594038,427841147,9.626691261104853,30928,4.850758558386175,423409941,8.78707555481812,30871,4.815339956356058,298537503,32.094384929339824,70218,6.021941003536769,177497456,18.073071603952773,70151,6.014745562312819,132112301,18.52862505744496,21036,5.267032224141817,132112299,17.77511511339479,21036,5.266966286508344
"instructions with disp(rXX,rYY,scale) addressing where scale != 1",4202318,0.02661076699437663,4606,1.1531980841789535,8014,5.0710844110730885e-05,4600,1.1517766154292997,5457678,2.2480470617411767,51546,1.0374413563661173,326186380,7.339395932007976,8844,1.3870961164759226,326737759,6.780826562938338,8849,1.3802903460786746,6576451,0.7070038026778225,25001,2.1441018973685204,6403651,0.6520298693730224,24998,2.143328100336358,118158999,16.571687670734114,4605,1.1530083377150153,118158999,15.897761410604929,4605,1.152993903278709
"instructions with disp(rXX,rYY) (or disp(rXX,rYY,scale) with scale = 1) addressing",1058951,0.006705703452109557,16434,4.11455868766759,9442440,0.05974970088157346,16439,4.116099082835273,5108738,2.10431679005348,85023,1.7112167082279206,101654767,2.287295329096876,22084,3.4636624419102526,96672182,2.006248991879783,22022,3.435049610277384,291961052,31.387381126662003,45217,3.8778391061682487,171093805,17.421041734579752,45153,3.8714174619764607,13953302,1.9569373867108475,16431,4.114023886426801,13953300,1.8773537027898632,16431,4.113972383229635
"instructions with disp(,rYY,scale) addressing (where scale is not 1)",95,6.015781919563869e-07,602,0.1507219380537842,92,5.821559343882257e-07,601,0.15048211866804545,1746053,0.7192086664501582,17617,0.35456881960000564,2414641,0.05433092066155451,769,0.12061023446064954,2414641,0.050111324393211594,768,0.11979466445795255,17214,0.001850597451314704,2352,0.20170903814290467,17214,0.001752756696357626,2349,0.20140322056524942,59815403,8.389053604077098,600,0.15022909937654924,59815403,8.04789320848243,600,0.1502272186682357
"instructions with disp(rXX,rYY,scale) or disp(,rYY,scale) addressing (where scale is not 1)",4202413,0.02661136857256859,5208,1.3039200222327376,8106,5.129300004511911e-05,5201,1.302258734097345,7203731,2.9672557281913345,69163,1.392010175966123,328601021,7.393726852669531,9613,1.5077063509365722,329152400,6.830937887331549,9617,1.500085010536627,6593665,0.7088544001291371,27353,2.345810935511425,6420865,0.65378262606938,27347,2.3447313209016074,177974402,24.960741274811213,5205,1.3032374370915647,177974402,23.945654619087357,5205,1.3032211219469447
instructions with non-zero immediate,6530632368,41.35458960287682,150744,37.74157446840473,11376104103,71.98550558456189,150776,37.7522328191235,85087397,35.04795864047952,1826545,36.76198584300916,1859352589,41.836586885924234,226122,35.46505518427958,2523722140,52.3750979279612,232662,36.29123206004707,133658881,14.369047549911427,442251,37.92773121927625,228680988,23.284659756400483,442965,37.97981166355287,213122138,29.890177951279817,150719,37.73729938155687,290096771,39.03121463770098,150739,37.741834524718634
instructions with non-zero immediate that fits in signed byte,4914761044,31.12224276576005,102767,25.729636890320997,8147524952,51.55576088459722,102790,25.737199630429938,67448165,27.78226365646417,1322303,26.61335152770314,1081431422,24.33287796802675,144507,22.66452945540323,1671849863,34.69609387960337,150393,23.458696577896948,130971871,14.080179543773568,276678,23.728083867050415,224714368,22.880772236538387,277143,23.762236167354157,180459697,25.309301544094104,102701,25.71446455845164,257360619,34.6267127512446,102721,25.719150214699734
instructions with non-zero immediate that fits in unsigned byte,4914765218,31.122269197206084,113610,28.444384355964157,8147529126,51.55578729675885,113640,28.453890125518612,69683048,28.702824041573976,1420071,28.581080673111178,1233801115,27.761290598147923,158794,24.905307634518053,1853386434,38.4635433673791,165022,25.740566560130528,131653446,14.15345251681178,308417,26.450040993588534,226647602,23.0776171789763,309106,26.502743250762872,180464048,25.309911767722145,113526,28.42484789303688,257364970,34.62729815870812,113546,28.429499618172485
